image,split,caption
RSICD_257.jpg,train,a large number of tall trees were planted around the airport .
RSICD_258.jpg,train,the plane is parked in the triangular building .
RSICD_259.jpg,train,the airport has a lot of planes .
RSICD_260.jpg,train,several planes were parked at the airport .
RSICD_261.jpg,train,this area is a vast and large airport .
RSICD_262.jpg,train,many planes will fall on this site .
RSICD_263.jpg,train,the airport has a lot of white planes .
RSICD_264.jpg,train,many planes are parked at the airport .
RSICD_266.jpg,train,the airport was built with a very large area .
RSICD_267.jpg,train,there are a lot of white planes in the airport .
RSICD_268.jpg,train,the grey roof house is the airport .
RSICD_269.jpg,train,a white plane is on the runway .
RSICD_270.jpg,train,the airport has two runways .
RSICD_271.jpg,train,two white planes parked at the airport .
RSICD_272.jpg,train,there are many lawns on both sides of the runway .
RSICD_273.jpg,train,there is a lake next to the airport .
RSICD_274.jpg,train,the aircraft parked on the tarmac white .
RSICD_275.jpg,train,many runways were built around the airport .
RSICD_360.jpg,train,several buildings are near a piece of bare land.
RSICD_362.jpg,train,several cars are in a piece of bare land.
RSICD_363.jpg,train,some small plants are around a rectangular bare land.
RSICD_364.jpg,train,here is an large area of bare land with some buildings and plants nearby .
RSICD_365.jpg,train,this is a irregular bare land with some traces .
RSICD_366.jpg,train,several buildings are near a large piece of bare land.
RSICD_367.jpg,train,several cars are in a large piece of bare land.
RSICD_368.jpg,train,some buildings are near a piece of bare land.
RSICD_369.jpg,train,a building is near a large piece of bare land.
RSICD_370.jpg,train,is bare land in the middle while with some sparse plants in side.
RSICD_371.jpg,train,many green plants are around a irregular bare land.
RSICD_372.jpg,train,part of brown bare land with some irregular mark in it.
RSICD_373.jpg,train,a white building is near a piece of bare land.
RSICD_374.jpg,train,several small green trees are in a piece of bare land.
RSICD_375.jpg,train,some light brown land in the middle while with some plants besides .
RSICD_376.jpg,train,several small green trees are in a piece of bare land.
RSICD_377.jpg,train,a road is next to a piece of bare land.
RSICD_378.jpg,train,the rectangular bare land is surrounded by three roads.
RSICD_380.jpg,train,a building is near a piece of bare land.
RSICD_381.jpg,train,three roads are near a piece of bare land.
RSICD_384.jpg,train,it it a piece of yellow bare land.
RSICD_385.jpg,train,it is a piece of gray bare land.
RSICD_386.jpg,train,it is a piece of gray bare land.
RSICD_387.jpg,train,some green trees are near a piece of bare land.
RSICD_388.jpg,train,some green trees and three roads are around a square bare land.
RSICD_391.jpg,train,some small green trees are near a piece of bare land.
RSICD_393.jpg,train,small roads are in a piece of bare land.
RSICD_396.jpg,train,several green trees are near a piece of bare land.
RSICD_399.jpg,train,roads are around a piece of bare land.
RSICD_402.jpg,train,several green trees are near a piece of bare land.
RSICD_407.jpg,train,several green trees are near a piece of bare land.
RSICD_408.jpg,train,several green trees are in a piece of bare land.
RSICD_411.jpg,train,some green trees and several business are around a bare land.
RSICD_412.jpg,train,a road is near a piece of yellow bare land.
RSICD_413.jpg,train,a road is near a piece of yellow bare land.
RSICD_414.jpg,train,two roads with green trees are near a piece of bare land.
RSICD_416.jpg,train,several roads are around a piece of bare land.
RSICD_418.jpg,train,a road is near a piece of bare land.
RSICD_420.jpg,train,several green trees are near a piece of bare land.
RSICD_422.jpg,train,a road is near a piece of bare land.
RSICD_424.jpg,train,it is a piece of yellow bare land.
RSICD_425.jpg,train,it is a piece of yellow bare land.
RSICD_428.jpg,train,some sparse plants are in a piece of bare land.
RSICD_430.jpg,train,several green trees are near a piece of bare land.
RSICD_431.jpg,train,several green trees are near a piece of bare land.
RSICD_432.jpg,train,a railway is near a large piece of bare land.
RSICD_433.jpg,train,it is a piece of yellow bare land.
RSICD_434.jpg,train,several buildings are near a piece of bare land.
RSICD_435.jpg,train,a piece of bare land is near a river.
RSICD_436.jpg,train,some green plants are near a piece of bare land.
RSICD_437.jpg,train,several buildings are near a piece of bare land.
RSICD_440.jpg,train,a road with some green trees is near a piece of bare land.
RSICD_441.jpg,train,some green trees are near a piece of bare land.
RSICD_442.jpg,train,a road is near a piece of bare land.
RSICD_445.jpg,train,some green trees are near a piece of bare land.
RSICD_446.jpg,train,several buildings are in a piece of bare land near a road.
RSICD_447.jpg,train,several green trees are near a piece of bare land.
RSICD_448.jpg,train,several green trees are near a piece of bare land.
RSICD_450.jpg,train,several buildings are near a piece of bare land.
RSICD_451.jpg,train,several long buildings and green trees are near a piece of bare land.
RSICD_452.jpg,train,several buildings and some green plants are near a piece of bare land.
RSICD_453.jpg,train,there are some irregular ponds in the tract of bare land
RSICD_454.jpg,train,a road with trees growing alongside goes along one side of the bare land.
RSICD_455.jpg,train,there are some stony hills in the bare land.
RSICD_456.jpg,train,there are many ruts surrounding the stony hills .
RSICD_457.jpg,train,this is mountainous region and lakes .
RSICD_458.jpg,train,it is dark brown and light brown .
RSICD_459.jpg,train,the terrain of the terrene is crumpled .
RSICD_460.jpg,train,it is brown and dark brown .
RSICD_461.jpg,train,there some ruts in the sandy bare land.
RSICD_462.jpg,train,there is a piece of bare land in the corner of two crossed road.
RSICD_464.jpg,train,the wasteland is divided into several parts by curly pathways .
RSICD_465.jpg,train,a road is in a piece of bare land.
RSICD_466.jpg,train,there is a terrene road across the bare land with some pieces of green land.
RSICD_467.jpg,train,several buildings and some paths are built on this bare land.
RSICD_469.jpg,train,the terrene ruts form into a triangle .
RSICD_471.jpg,train,some clusters of plants grow on the brown bare land while no plants grows on the khaki bare land.
RSICD_472.jpg,train,it is a piece of khaki bare land.
RSICD_473.jpg,train,there is a road with cars on it along a piece of bare land.
RSICD_474.jpg,train,some divergent path like stripes are lying on the bare land.
RSICD_475.jpg,train,a circular path and other irregular paths are lying on the bare land.
RSICD_476.jpg,train,there are some orderly arranged plants growing alongside the bare land.
RSICD_477.jpg,train,this is a bare land with some roads.
RSICD_478.jpg,train,this is a bare land with some trees.
RSICD_479.jpg,train,this is a bare land.
RSICD_481.jpg,train,several buildings are near a piece of bare land.
RSICD_482.jpg,train,here is a construction site with ruts .
RSICD_483.jpg,train,there is a light colored narrow long shape in the brown bare land.
RSICD_484.jpg,train,it is a piece of uneven khaki bare land.
RSICD_485.jpg,train,it is a piece of brown bare land.
RSICD_486.jpg,train,it is a piece of yellow desert .
RSICD_487.jpg,train,some green meadows are in a piece of bare land.
RSICD_488.jpg,train,a road is in a piece of yellow bare land.
RSICD_489.jpg,train,some green plants are near a piece of khaki bare land.
RSICD_490.jpg,train,some green spots are scattered in a piece of khaki bare land.
RSICD_491.jpg,train,it is a piece of khaki bare land.
RSICD_492.jpg,train,many wild roads are in a piece of khaki bare land.
RSICD_493.jpg,train,it is a piece of khaki bare land.
RSICD_494.jpg,train,it is a piece of yellow bare land.
RSICD_495.jpg,train,many signs are in a piece of khaki bare land.
RSICD_496.jpg,train,many marks like ripples are in a piece of yellow bare land.
RSICD_497.jpg,train,it is a piece of gray yellow bare land.
RSICD_498.jpg,train,it is a piece of gray bare land.
RSICD_499.jpg,train,it is a piece of yellow bare land.
RSICD_500.jpg,train,many circle signs are in a piece of yellow bare land.
RSICD_501.jpg,train,many little green spots are in a piece of yellow bare land.
RSICD_502.jpg,train,many small spots are scattered in a piece of khaki bare land.
RSICD_503.jpg,train,many spots are in one side of a bare land.
RSICD_504.jpg,train,many small green spots are scattered in a piece of khaki bare land.
RSICD_505.jpg,train,it is a piece of yellow bare land.
RSICD_506.jpg,train,it is a piece of gray bare land.
RSICD_507.jpg,train,it is a piece of gray white bare land.
RSICD_508.jpg,train,it is a piece of khaki bare land.
RSICD_509.jpg,train,a road is in a piece of khaki bare land.
RSICD_510.jpg,train,it is a piece of khaki bare land.
RSICD_511.jpg,train,several wild roads are in a piece of yellow bare land.
RSICD_512.jpg,train,it is a piece of yellow bare land.
RSICD_513.jpg,train,it is a piece of yellow bare land.
RSICD_514.jpg,train,two roads are in two sides of a rectangle bare land.
RSICD_515.jpg,train,it is a piece of yellow bare land.
RSICD_516.jpg,train,it is a piece of khaki bare land.
RSICD_517.jpg,train,it is a piece of yellow bare land.
RSICD_518.jpg,train,it is a piece of khaki irregular bare land.
RSICD_519.jpg,train,a piece of land disorderly .
RSICD_520.jpg,train,what is not a piece of bare land .
RSICD_522.jpg,train,what is not a piece of bare land .
RSICD_523.jpg,train,it is a piece of irregular khaki bare land.
RSICD_524.jpg,train,it is a piece of khaki bare land.
RSICD_525.jpg,train,a road is near a piece of bare land.
RSICD_526.jpg,train,it is a piece of yellow bare land.
RSICD_527.jpg,train,it is a piece of khaki bare land.
RSICD_528.jpg,train,it is a piece of irregular khaki bare land.
RSICD_529.jpg,train,it is a piece of irregular khaki bare land.
RSICD_530.jpg,train,it is a piece of khaki bare land.
RSICD_531.jpg,train,several buildings are near a piece of irregular bare land.
RSICD_532.jpg,train,it is a piece of khaki bare land.
RSICD_533.jpg,train,it is a piece of irregular khaki bare land.
RSICD_534.jpg,train,it is a piece of irregular khaki bare land.
RSICD_535.jpg,train,it is a piece of khaki irregular bare land.
RSICD_536.jpg,train,it is a piece of irregular khaki bare land.
RSICD_537.jpg,train,it is a piece of irregular khaki bare land.
RSICD_538.jpg,train,it is a piece of irregular khaki and green bare land.
RSICD_539.jpg,train,it is a piece of yellow bare land.
RSICD_540.jpg,train,it is a piece of khaki bare land.
RSICD_541.jpg,train,it is a piece of irregular yellow bare land.
RSICD_542.jpg,train,it is a piece of irregular bare land.
RSICD_543.jpg,train,several green trees are near a piece of irregular bare land.
RSICD_544.jpg,train,a piece of irregular khaki bare land is between two parallel roads.
RSICD_545.jpg,train,many signs are in a piece of khaki bare land.
RSICD_546.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_547.jpg,train,on the bare land is a large number of car grind marks.
RSICD_548.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_549.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_550.jpg,train,a large number of car grind marks are on the bare land.
RSICD_551.jpg,train,the bare land is on the side of the land.
RSICD_552.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_553.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_554.jpg,train,a large number of car grind marks are on the bare land.
RSICD_555.jpg,train,a large number of car grind marks are on the bare land.
RSICD_556.jpg,train,it is a piece of khaki bare land.
RSICD_557.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_558.jpg,train,it is a piece of irregular khaki bare land.
RSICD_559.jpg,train,the bare land is on the side of the land.
RSICD_560.jpg,train,in the bare land are lots of waste materials.
RSICD_561.jpg,train,it is a piece of yellow bare land.
RSICD_562.jpg,train,the bare land is on the side of the land.
RSICD_563.jpg,train,many signs are in a piece of yellow desert .
RSICD_564.jpg,train,a large number of car grind marks are on the bare land.
RSICD_565.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_566.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_567.jpg,train,the bare land is on the side of the land.
RSICD_568.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_569.jpg,train,the bare land is on the side of the land.
RSICD_570.jpg,train,a lot of weeds are grown on the bare land.
RSICD_571.jpg,train,the bare land is on the side of the land.
RSICD_572.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_573.jpg,train,a piece of khaki bare land is between a river and a road.
RSICD_574.jpg,train,it is a piece of khaki bare land.
RSICD_575.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_576.jpg,train,a lot of broken stone and waste are in the bare land.
RSICD_577.jpg,train,there is a large area of bare land on this land .
RSICD_578.jpg,train,many cars were parked on the bare land .
RSICD_579.jpg,train,the bare land is vast and large .
RSICD_580.jpg,train,the bare land is surrounded by houses .
RSICD_581.jpg,train,the bare land grew only a little green grass .
RSICD_582.jpg,train,the bare land is not planted .
RSICD_583.jpg,train,this is a vast bare land area .
RSICD_584.jpg,train,a lot of cars parked on the side of the land .
RSICD_585.jpg,train,the land was a vast expanse of bare land .
RSICD_586.jpg,train,next to the road was a bare land .
RSICD_587.jpg,train,beside the road is a bare land.
RSICD_588.jpg,train,there was a wide road around the bare land .
RSICD_589.jpg,train,several roads were built over the bare land.
RSICD_590.jpg,train,some trees were planted around the bare land .
RSICD_591.jpg,train,trees are planted around bare land .
RSICD_592.jpg,train,there is nothing on the bare land.
RSICD_593.jpg,train,there is a small green lawn beside the bare land .
RSICD_594.jpg,train,there is a lake on the bare land.
RSICD_595.jpg,train,there is no plant growth on the bare land .
RSICD_597.jpg,train,there is a house on the bare land .
RSICD_598.jpg,train,this vast area is a bare patch of land .
RSICD_599.jpg,train,the bare land has a small patch of water .
RSICD_600.jpg,train,the bare land has not planted any plant .
RSICD_601.jpg,train,the bare land is very broad .
