source,split,image,caption_1,caption_2,caption_3,caption_4,caption_5
NWPU,test,NWPU_31454.jpg,Four planes parked in a line on the airport and the passing plane behind it .,"Here are two aircraft parked in the open space, And the larger one is twice as large as the others .",There are many planes of different sizes in a clearing .,Four planes are parked on the open space next to the runway .,There were four planes in the clearing next to the road .
NWPU,test,NWPU_31455.jpg,A plane parked next to a boarding bridge of the white terminal and the forest beside .,An airplane parked in the open space in front of the white building .,An airplane parked on an open lot with many buildings and lawns next to it .,A plane is parked on the open space next to the buildings and trees .,One plane is on the ground next to the building .
NWPU,test,NWPU_31456.jpg,A plane with the red mark parked next to a boarding bridge of the terminal and another one beside .,Here are two white planes and a row of houses with blue roofs .,"Two planes parked in a clearing, With many buildings and lawns next to the plane .",Two planes are parked on the open space next to the terminal .,Two planes are in the parking lot next to the building .
NWPU,test,NWPU_31457.jpg,Some planes of different sizes and colors parked in two lines on the airport and a yellow lines between them .,Five white planes and one gray plane lined up in two rows .,There are many planes of different sizes in a clearing .,Six planes are parked on the ground .,Six planes of different sizes were on the ground .
NWPU,test,NWPU_31458.jpg,A plane parked on the open area and some gray buildings on the left side of the plane .,A white plane parked in the open space in front of the black building .,An airplane parked on an open lot with many buildings and lawns next to it .,A plane is parked on the open space next to the buildings .,One plane is on the ground next to the buildings .
NWPU,test,NWPU_31459.jpg,A blue plane parked next to a boarding bridge .,A blue-fuselaged plane parked at the boarding gate .,An airplane parked in an open area with many containers next to it .,A blue and white plane is parked near the terminal .,There is an airplane in the parking lot .
NWPU,test,NWPU_31460.jpg,A plane parked on the open area and some buildings beside .,A white plane parked at the junction of concrete and land .,An airplane parked in an open area with many buildings next to it .,A plane is parked on the runway next to the buildings .,The buildings are next to an airplane .
NWPU,test,NWPU_31461.jpg,A plane parked next to boarding bridges of the terminal .,A white plane parked at the boarding gate .,An airplane parked on an open lot with many buildings and lawns next to it .,A plane is parked on the open space next to the terminal .,One plane is on the ground next to the buildings .
NWPU,test,NWPU_31462.jpg,Some planes parked in different directions on the open area with some marks .,"There are five aircraft on the open ground, The largest of which is three times as large as the smallest one .","There is an airplane on the runway, Four airplanes in the open space next to the runway, And many cars parked in the open space next to the airplane .",Four planes are parked on the open space next to the runway .,Five planes are on the marked ground .
NWPU,test,NWPU_31463.jpg,Two adjacent planes parked next to boarding bridges of the terminal .,There are three aircraft on the open ground .,"Two planes parked in a clearing, With many buildings next to the plane .",Two planes are parked on the open space next to the terminal .,Three planes were in the clearing next to the buildings .
NWPU,test,NWPU_31464.jpg,Three planes parked in different directions on the open area with some marks .,"There are four aircraft on the open ground, The largest of which is five times as large as the smallest one .",There are many planes of different sizes in a clearing .,Three big planes and a small plane are parked on the runway .,Four planes of different sizes were on the ground .
NWPU,test,NWPU_31465.jpg,A plane parked on the airport while some facilities in front of it .,There is an aircraft on the open ground .,An airplane parked in an open area with many containers next to it .,A plane is parked on the open space beside the grass .,A plane is on the ground beside the grass .
NWPU,test,NWPU_31466.jpg,Four planes parked on the airport and some buildings arranged neatly in front of the airport .,There are four aircraft on the open ground .,"Several planes of different sizes are parked in a clearing, With many buildings next to the plane .",Four planes are parked on the open space next to the buildings .,Four planes were in the clearing next to the buildings .
NWPU,test,NWPU_31467.jpg,Some planes parked in some lines on the airport and a white striped building beside .,Six rows of aircraft parked on one side of the white building .,There are many planes of different sizes in a clearing .,Many planes are parked in rows on the open space .,Many planes line the ground beside the long house .
NWPU,test,NWPU_31468.jpg,Two tail-to-tail planes parked on the airport .,Here are two planes heading in opposite directions .,There are two planes of different sizes on a clearing .,Two planes are parked on the open space between the terminal and the runway .,Two planes are on the marked ground .
NWPU,test,NWPU_31469.jpg,Two planes with the purple marks parked next to boarding bridges .,Two blue-tailed planes parked at the boarding gate .,Two planes of the same size parked neatly next to the buildings inside the airport .,Two planes are parked next to the terminal .,Two planes are in the parking lot next to the building .
NWPU,test,NWPU_31470.jpg,Two planes parked one after another on the airport and the lawn beside .,There are two white planes parked by the lawn .,"There are two planes on the runway, And there are some lawns by the runway .",Two planes are parked on the runway next to the grass .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31471.jpg,Four planes parked next to boarding bridges of the triangular terminal .,Four planes dock around the airport .,Several planes of different sizes are neatly parked beside buildings in the airport .,Four planes are parked around the terminal .,One triangular building surrounded by four planes .
NWPU,test,NWPU_31472.jpg,A plane parked on the airport while some facilities around it .,There are many cars around the white plane .,An airplane parked in an open area with many containers next to it .,A plane and many cars are parked on the open space beside the grass .,There is an airplane in the parking lot .
NWPU,test,NWPU_31473.jpg,A blue plane on the runway and some roundabouts beside .,Here is a plane with blue fuselage and white wings and many white marking lines .,There is an airplane on the runway  There are several lawns beside the runway  Many cars are parked in the open space next to the airplane .,A blue and white plane is parked on the runway beside the grass .,An airplane is in the clearing between many oval-shaped meadows .
NWPU,test,NWPU_31474.jpg,Some white planes of different sizes parked in different directions on the open area and some gray planes of different sizes parked in a yard with the green building .,There are about ten white and three gray planes here .,"Several planes of different sizes are parked in a clearing, With many buildings next to the plane .",Many planes are parked on the open space next to the buildings .,There are eight planes on the ground .
NWPU,test,NWPU_31475.jpg,A plane parked on the open area while some facilities in front of it .,Here is a white plane and many gray containers .,An airplane parked in an open area with many containers next to it .,A plane is parked on the open space next to the runway .,There is an airplane in the parking lot .
NWPU,test,NWPU_31476.jpg,A blue plane and a white plane parked next to boarding bridges .,Here are two planes and a blue truck .,A white plane and a blue fuselage parked neatly next to the buildings inside the airport .,A blue plane and a white plane are parked on the open space beside the terminal .,Two planes are on the marked ground .
NWPU,test,NWPU_31477.jpg,Two adjacent planes parked on the open area and the lawn beside .,Two red-tailed planes parked between the lawn and the concrete ground .,Two planes of the same size parked neatly next to the buildings inside the airport .,Two planes are parked on the open space next to the buildings and the grass .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31478.jpg,A plane parked on the open area and the forest beside .,A white plane parked on a clearing in a large wood .,An airplane parked on an open lot with many buildings and lawns next to it .,A plane is parked on the open space beside the buildings and the grass .,A plane is on the ground beside the grass .
NWPU,test,NWPU_31479.jpg,A plane on the runway and a clearing beside .,An airplane is on the gray runway .,There is an airplane on the runway with many buildings by the runway .,A plane is parked on the grass beside the bare ground .,One plane is on the marked ground .
NWPU,test,NWPU_31480.jpg,Seven planes parked on the open area and a clearing with houses beside .,Seven planes lined up in two rows in the open space .,"Several planes of different sizes are parked in a clearing, With many buildings next to the plane .",Many of the planes are parked on the open space next to the bare land .,Seven planes were in the clearing next to the buildings .
NWPU,test,NWPU_31481.jpg,A plane parked on the open area with some yellow marks .,A white plane parked at the intersection of several yellow indicating lines .,A plane parked on a clearing .,A plane is parked on the open space .,There is an airplane in the parking lot .
NWPU,test,NWPU_31482.jpg,Two planes parked on either side of the white terminal .,The picture shows seven departure gates and two aircraft .,Two planes of different sizes are neatly parked next to the buildings in the airport .,Two planes are parked around the terminal .,Two planes are on the road on either side of the building .
NWPU,test,NWPU_31483.jpg,A plane parked on the lawn while some trees arranged neatly and red buildings beside .,Here is a white plane and several red houses .,"Two planes parked in a clearing, With many buildings and lawns next to the plane .",A plane is parked on the grass beside the buildings .,A plane is in the vacant lot next to the red buildings .
NWPU,test,NWPU_31484.jpg,Two gray planes parked on the airport and the lawn beside .,Here are two gray planes and white circular indicator lines .,"There are two planes of different sizes on a clearing, With a runway next to the plane .",Two planes are parked on the runway next to the grass .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31485.jpg,A plane parked next to a boarding bridge while some facilities around it .,A white plane parked at the boarding gate .,An airplane parked in an open area with many containers next to it .,A plane is parked on the open space next to the terminal .,A plane is on the ground beside the grass .
NWPU,test,NWPU_31486.jpg,Some planes of different sizes and colors parked next to boarding bridges of the striped terminal and another plane behind them .,"There are six white planes, One red plane and one blue plane .",Several planes of different sizes are neatly parked beside buildings in the airport .,Many planes are parked on the open space around the terminal .,Eight planes were in the clearing next to the buildings .
NWPU,test,NWPU_31487.jpg,A small plane and two big planes parked on the airport and the lawn beside .,"There are four planes, Two of which are about five times the size of the two smaller ones .",There are many planes of different sizes in a clearing .,Four planes are parked on the open space .,Four planes are in the clearing next to the grass .
NWPU,test,NWPU_31488.jpg,A plane parked on the open area and a runway behind it .,There is a plane and several cars on the open ground .,There is a plane in a clearing and there is a runway next to the plane .,A plane is parked on the runway next to the grass .,There is an airplane in the parking lot .
NWPU,test,NWPU_31489.jpg,Three planes parked in a line on the airport while some facilities in front of them .,"Three aircraft parked on the yellow indicating line, And there were rows of neat containers in front of the aircraft .","There are many planes of the same size in a clearing, With many containers next to the plane .",Three planes are parked on the open space .,Three planes are on the marked ground .
NWPU,test,NWPU_31490.jpg,Two gray planes parked diagonally on the airport and the lawn beside .,Here are two gray planes .,There are two gray planes of the same size in a clearing .,Two gray planes are parked on the runway next to the bare ground .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31491.jpg,Some white planes parked in two lines on the airport and a white buildings in front of planes .,About twenty planes lined up in two rows on the ground .,There are many neatly arranged aircraft of the same size in a clearing .,Many planes are parked in two rows on the open space .,Eighteen planes in two rows on the ground .
NWPU,test,NWPU_31492.jpg,A plane parked next to a boarding bridge .,A white plane parked at the boarding gate .,An airplane parked beside a building inside the airport .,A plane is parked on the open space next to the terminal .,There is an airplane in the parking lot .
NWPU,test,NWPU_31493.jpg,Two planes parked one after another on the airport and the lawn beside .,One plane was parked by the lawn while the other was turning .,"There are two planes of different sizes on a clearing, With a runway next to the plane .",Two planes are parked on the runway next to the grass .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31494.jpg,A yellow plane parked on the open area .,Here is a plane with a yellow fuselage and grey wings .,An airplane with a yellow fuselage in a clearing .,A yellow and white plane is parked on the open space .,A yellow and white plane is on the ground .
NWPU,test,NWPU_31495.jpg,Two planes parked on the airport and the lawn beside .,Here are two white planes .,Two planes of the same size parked neatly next to the buildings inside the airport .,Two planes are parked on the open space between many lights and the grass .,Two planes are in the clearing next to the grass .
NWPU,test,NWPU_31496.jpg,A purple plane parked next to a boarding bridge of the round terminal while some facilities in front of the plane .,The picture shows three departure gates and a purple aircraft .,An airplane with a blue fuselage parked beside a building inside the airport .,A blue and white plane is parked next to the terminal .,A plane is in the vacant lot next to the building .
NWPU,test,NWPU_31497.jpg,Five white planes of different sizes parked in different directions on the airport .,"There are five aircraft on the open ground, The largest of which is five times as large as the smallest one .",There are many planes of different colors and sizes on a clearing .,Five planes are parked on the runway .,Five planes are on the marked ground .
NWPU,test,NWPU_31498.jpg,Three planes parked in a line on the airport and some buildings in front of them .,Three planes lined up neatly .,"Several planes of different sizes are parked in a clearing, With many buildings next to the plane .",Three planes are parked on the open space between the buildings .,Three planes were in the clearing next to the buildings .
NWPU,test,NWPU_31499.jpg,A plane with the red mark parked next to a boarding bridge and some facilities in no-stop areas marked by white slashes .,Here is a red-tailed plane and several yellow trucks .,A red-patterned plane parked beside a building inside the airport .,An orange and white plane is parked next to the terminal .,One aircraft is on the marked ground .
NWPU,test,NWPU_630.jpg,An airport with a runway on the farmland and some villages beside .,This airport has two parallel runways .,An airport with a runway and many buildings is surrounded by a residential area and green fields .,An airport is surrounded by many buildings and fields .,The road is straight  at the airport .
NWPU,test,NWPU_631.jpg,An airport with some staggered runways and a white terminal on the lawn .,There is almost no vegetation near the airport .,Several runways and buildings are scattered in the airport while every plane is on their own position .,There is an airport in the field with many runways crossing each other .,The grass of the airfield is divided into different sizes by the road .
NWPU,test,NWPU_632.jpg,An airport with some staggered runways and white buildings in the forest and some villages beside .,The airport was built in the middle of lush vegetation .,A huge complex airport with many runways and buildings and many aircraft parked on a huge lawn .,An airport is surrounded by many buildings and fields .,The ground of the airfield is marked .
NWPU,test,NWPU_633.jpg,An airport with some runways on the farmland and some villages beside .,The airport is bordered by a large lawn .,An airport with many runways and buildings and many planes parked on a huge lawn .,There is an airport in the middle of the field .,The runway of the airport is surrounded by grass .
NWPU,test,NWPU_634.jpg,An airport with some runways and a plane on the lawn and a parking lot beside .,The airport is divided into two triangular areas by several runways .,There are many buildings along the runway and apron of the airport and many aircraft are parked .,There is an airport with a plane on the runway between the field .,There are two blue houses at the airport .
NWPU,test,NWPU_635.jpg,An airport with some parallel runways next to the sea and dense residential areas beside .,The airport was built in the middle of lush vegetation .,A complex airport with many runways and buildings is surrounded by a residential area and sea water .,An airport is between many buildings and water .,There are many buildings of different sizes and shapes at the airport .
NWPU,test,NWPU_636.jpg,An airport with some staggered runways and an open area in the vacant lot and some planes parked in lines on the airport .,There are two crossing runways here .,Several runways and buildings are scattered in the airport while every plane is on their own position .,There is an airport on the open place next to many buildings .,The airport has many roads of different lengths .
NWPU,test,NWPU_637.jpg,"An airport with two parallel runways, A white terminal and an open area on the farmland with different plants and some villages beside .",The airport is surrounded by neat terraces .,A complex airport with many runways and buildings surrounded by a brown and green farmland .,There is an airport in the middle of the field .,The airport has many roads of different lengths .
NWPU,test,NWPU_638.jpg,An airport with two parallel runways and some buildings in the vacant lot and some villages beside .,Most of the buildings at this airport have gray roofs .,A huge complex airport with many runways and buildings and many planes parked on the yellow land .,There is an airport built in bare land .,There are a lot of intersecting roads in the airfield .
NWPU,test,NWPU_639.jpg,An airport with some parallel runways and an open area on the lawn .,The lawn is divided into many rectangular areas by runways .,A huge complex airport with many runways and buildings and many planes parked next to the brown mountains .,There is an airport between the mountain and many houses .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_640.jpg,An airport with two parallel runways and an open area at the foot of the mountain .,This airport has only one runway .,There are many buildings along the runway and apron of the airport and there are many planes parked  On the other side of the runway is a brown mountain range .,Airports built at the foot of the mountain next to the tenantless land .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_641.jpg,An airport with two parallel runways and a white building on the farmland and some villages beside .,"There are many buildings near the airport, And no vegetation near the airport .",An airport with a runway and many buildings is surrounded by a residential area and brown farmland .,There is an airport between many buildings and fields .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_642.jpg,An airport with two parallel runways next to the sea and dense residential areas beside .,"This airport has only one runway, And its color is white .",A complex airport with many runways and buildings is surrounded by a brown farmland and sea water .,There is an airport in the middle of the field between many buildings and the water .,The buildings are next to the runway of the airport .
NWPU,test,NWPU_643.jpg,An airport with a runway and an open area next to the farmland and some villages beside .,There are two crossing runways here .,A complex airport with many runways and buildings and many aircraft parked is surrounded by a brown and green farmland surrounded by a winding highway .,An airport is surrounded by many trees and fields .,The airport has many roads of different lengths .
NWPU,test,NWPU_644.jpg,An airport with some staggered runways and an open area in the vacant lot .,"This airport has only one runway, And here is a row of planes parked in the open space .",Several runways and buildings are scattered in the airport while every plane is on their own position .,There is an airport built in bare land next to the field .,There are many buildings of different sizes and shapes at the airport .
NWPU,test,NWPU_645.jpg,An airport with some parallel runways and an open area on the lawn and some planes parked on the airport .,This airport has only one runway .,There are many buildings along the runway and apron of the airport and many aircraft are parked .,There are some planes parked on the runway between many buildings .,The buildings are next to the runway of the airport .
NWPU,test,NWPU_646.jpg,An airport with some parallel runways and a white terminal on the farmland and some buildings arranged neatly beside .,"There are many buildings near the airport, And no vegetation near the airport .",A complex airport with many runways and buildings .,There is an airport in the middle of the field between some houses .,There are numerous buildings of different sizes and shapes at the airport .
NWPU,test,NWPU_647.jpg,An airport with some parallel runways and a red triangular terminal on the lawn and some planes parked next to the terminal .,"This airport has only one runway, And its color is white .",There are many buildings along the runway and apron of the airport and many aircraft are parked .,There is an airport with many planes stopped here next to the field .,There is a red building at the airport .
NWPU,test,NWPU_648.jpg,"An airport with some staggered runways, A terminal and an open area between the farmland and the dense residential area .",There are two crossing runways here .,A complex airport with many runways and buildings is surrounded by a residential area and green farmland .,There is an airport between many buildings and fields .,There are many intersecting roads in the airfield .
NWPU,test,NWPU_649.jpg,An airport with two parallel runways in the vacant lot and some villages beside .,"This airport has only one runway, And here is a row of planes parked in the open space .",A complex airport with many runways and buildings is surrounded by a residential area and brown farmland .,An airport is surrounded by many buildings and fields .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_650.jpg,"An airport with some runways, A terminal and an open area .",Most of the airport's buildings have white roofs .,There is a huge building next to the runway and apron of the airport  There are many aircraft parked around it .,There is an airport in the middle of the field .,The airport is surrounded by grass .
NWPU,test,NWPU_651.jpg,An airport with some runways and some open areas in the forest .,The airport is built by the sea and the sea water is light blue .,A complex airport with many runways and buildings is surrounded by a brown and green farmland .,An airport is surrounded by many trees and fields .,The road is straight  at the airport .
NWPU,test,NWPU_652.jpg,An airport with some parallel runways next to the sea and some villages on the farmland .,"This airport has only one runway, And its color is grey .",A complex airport with many runways and buildings is surrounded by a brown farmland and sea water .,An airport is between farmland and water .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_653.jpg,An airport and some buildings next to the sea in the vacant lot .,There is almost no vegetation near the airport .,There is a sea around the airport with a runway and many buildings .,There is an airport built in bare land next to the water .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_654.jpg,An airport with some parallel runways and buildings on the farmland with different plants .,The airport is built by the sea and the sea water is light blue .,A complex airport with many runways and buildings is surrounded by a brown and green farmland .,There is an airport in the middle of the field .,The airport is surrounded by grass .
NWPU,test,NWPU_655.jpg,An airport with two parallel runways and an open area on the lawn and some planes parked in lines on the airport .,The airport has three staggered runways .,There are many buildings along the runway and apron of the airport and many aircraft are parked .,There is an airport built in bare land .,Many planes are at the airport .
NWPU,test,NWPU_656.jpg,An airport with two parallel runways on the farmland and dense residential areas around the airport .,A runway can be seen in this photo .,An airport with a runway and many buildings is surrounded by a residential area and green fields .,An airport is surrounded by many buildings and fields .,The buildings are next to the runway of the airport .
NWPU,test,NWPU_657.jpg,An airport with some runways and a terminal on the lawn and some planes parked next to the terminal .,The airport is bordered by a large lawn .,Several runways and buildings are scattered in the airport while every plane is on their own position .,An airport is in the middle of grass surrounded by many buildings .,Many planes are at the airport .
NWPU,test,NWPU_658.jpg,An airport with a runway and an open area in the vacant lot and some villages beside .,"There is almost no vegetation near the airport, And there are many blue houses .",An airport with a runway and many buildings is surrounded by a brown mountain range .,There is an airport in the field with a runway pass by .,The road is straight  at the airport .
NWPU,test,NWPU_659.jpg,An airport with some staggered runways and open areas next to the river and some buildings beside .,There are two crossing runways here .,A complex airport with many runways and buildings built on a huge lawn surrounded by a meandering river .,There is an airport in the middle of the field with a river pass by .,The airport is surrounded by grass .
NWPU,test,NWPU_660.jpg,An airport with a runway and an open area next to the river .,"This airport has only one runway, And its color is white .",A complex airport with many runways and buildings built on a huge lawn surrounded by a meandering river with a few clouds in the air .,There is an airport in the middle of the field with a river pass by .,The grass is beside the runway of the airport .
NWPU,test,NWPU_661.jpg,An airport with some runways and open areas in the vacant lot and these runways put a triangular shape .,The greening of this airport is very good .,An airport with many runways and buildings built on yellow land .,There is an airport built in bare land .,The airport has many roads of different lengths .
NWPU,test,NWPU_662.jpg,An airport with two parallel runways and a terminal on the lawn and some planes parked next to the terminal .,"This airport has one runway traverse the lawns, And here is a row of planes parked in the open space .",There are many buildings along the runway and apron of the airport and many aircraft are parked .,There is an airport with many planes stopped here next to the field .,The airfield has a large space .
NWPU,test,NWPU_663.jpg,An airport with a runway and an open area on the farmland with different plants and some villages beside .,Most of the airport's buildings have white roofs .,An airport with a runway and many buildings is surrounded by a brown and green farmland .,An airport is in the middle of grass surrounded by many buildings and fields .,The road is straight  at the airport .
NWPU,test,NWPU_664.jpg,An airport with some runways and an open area next to the river and some buildings beside .,The airport is built by the sea and the sea water is light blue .,A complex airport with many runways and buildings and many planes parked on a huge lawn .,An airport is in the middle of grass between some buildings and trees .,There are many buildings of different sizes and shapes at the airport .
NWPU,test,NWPU_665.jpg,An airport with some staggered runways and buildings on the lawn .,"This airport has only one runway, And its color is grey .",A complex airport with many runways and buildings and many planes parked on a huge lawn .,There is an airport surrounded by many trees next to the water .,There are many buildings of different sizes and shapes at the airport .
NWPU,test,NWPU_666.jpg,An airport with two parallel runways and an open area at the foot of the mountain and some buildings beside .,There is almost no vegetation near the airport .,An airport with a runway and many buildings is surrounded by a brown mountain range .,Airports built at the foot of the mountain next to the bare land .,The two roads of the airport are parallel to each other .
NWPU,test,NWPU_667.jpg,An airport with some staggered runways and open areas on the lawn and some villages beside .,The airport is built by the sea and the sea water is light blue .,A huge complex airport with many runways and buildings and many aircraft parked on a huge lawn .,There is an airport between many buildings and fields .,The runway of the airport is surrounded by grass .
NWPU,test,NWPU_668.jpg,An airport with some intersecting runways and buildings on the farmland .,The airport was built in the middle of lush vegetation .,A complex airport with many runways and buildings is surrounded by a green farmland .,There is an airport in the middle of the field next to some buildings .,Two roads intersect at the airport .
NWPU,test,NWPU_669.jpg,An airport with a runway and an open area in the forest and some white buildings beside .,There are two crossing runways here .,A complex airport with many runways and buildings is surrounded by a forest .,An airport is surrounded by many trees and fields .,The airport is surrounded by grass .
NWPU,test,NWPU_670.jpg,An airport with some staggered runways and buildings on the lawn .,The airport is surrounded by neat terraces .,A complex airport with many runways and buildings built on huge lawns .,There is an airport in the field with many runways crossing each other .,The grass of the airfield is divided into different sizes by the road .
NWPU,test,NWPU_671.jpg,An airport with two parallel runways and an open area on the lawn and dense residential areas around the airport .,Most of the buildings at this airport have gray roofs .,An airport with a runway and many buildings is surrounded by a residential area and green fields .,An airport is surrounded by many buildings and trees .,There are many intersecting roads in the airfield .
NWPU,test,NWPU_672.jpg,An airport with some intersecting runways and white buildings on the lawn and dense residential areas around the airport .,The lawn is divided into many rectangular areas by runways .,A complex airport with many runways and buildings built on a huge lawn surrounded by a residential area .,An airport is on the open place surrounded by many buildings .,Two roads intersect at the airport .
NWPU,test,NWPU_673.jpg,An airport with some staggered runways and a terminal on the lawn and some buildings beside .,This airport has only one runway .,Several runways and buildings are scattered in the airport while every plane is on their own position .,There are several planes on the tarmac with several runways in the airport .,The airport has many roads of different lengths .
NWPU,test,NWPU_674.jpg,"An airport with two parallel runways, A white terminal and an open area on the lawn and some villages beside .","There are many buildings near the airport, And no vegetation near the airport .",A complex airport with many runways and buildings is surrounded by a residential area and green farmland .,An airport is surrounded by many buildings with a river pass by .,The buildings are next to the runway of the airport .
