generated,actual
a. a group of houses b. a group of houses in a row c. a group of houses in a row,A dense residential area has lots of neatly arranged houses with different colors of roofs .
the desert is a large flat area of land that is usually dry and,The mountain has a rugged surface and its rocks are gray .
a. a bridge over a river b. a bridge over a river,Two bridges built on a dark blue river and the vacant lot on both sides of the river .
the castle is a large building with a rounded roof .,The orange palace with a clearing is surrounded by a grove of trees .
what is the name of this road interchange .,the viaduct is connected to the broad road by a eight shaped ramp .
river,the twisty river is across the green land.
a. a large river with a small boat in it b. a large river with a small boat in it c. a large river with a small boat in it d. a large river with a small boat in it,Several ships of different sizes are docked at the dock and another ship is sailing in the yellow water .
the image shows a large area of land with a few trees and a few hills .,There is a straight path between the terraces .
property is located on a 1000 acre farm,There are circular swimming pools beside this house .
the dome of the church is a dome of the cathedral .,The church with a green circular pointed tower and the rest of the church has an orange cross-shaped roof .
a. a large water reservoir b. a large water reservoir,the pond is trapezoidal in one side of which there are some trees and in other sides of which there are many tracts of farmland .
trees,The forest has a lot of randomly arranged green trees .
a. a large ship docked at a port b. a large ship docked at a port c. a large ship docked at a port d. a large ship docked at a port,Some ships of different sizes and colors are docked at the oil terminal and the water is dark green .
the 1st hole of the golf course,"The golf course has some putting greens, Barrier trees and two sandpits ."
glaciers,The snowberg is covered with glaciers .
skyscrapers and a parking lot .,A commercial area has three buildings and one of buildings has a parking lot on the roof .
a. a large bridge over a river b. a large bridge over a river,there are two bridges over the river .
a. a river b. a forest c. a river in a forest,The forest has a lot of evenly distributed sage green trees and a road goes through the forest .
grass,The grass on the left side of the meadow is dense and the grass on the right side of the meadow is sparse .
a. a large storage facility for oil and gas .,there are some white storage tanks near two lines of houses with trees .
a. a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a roundabout with a fountain in the middle of a,The roundabout with some exits and entrances is between the residential area and a road .
a. a large farm with many circular fields b. a large farm with many circular fields,Several dark green circular farmlands are surrounded by some rectangular farmlands .
the stadium is in the center of the image .,The ground track field is surrounded by a residential area and a parking lot is next to the ground track field .
a. a patchwork of crops and fields,there is a bare road in the middle of the field .
Lake,This wetland is light green overall with some green plants in the middle .
a. a mosaic of fields .,Some rectangular farmlands of different colors are arranged in neat rows .
a. a barge on a river b. a barge on a river,The ship is in the deep blue water .
the building is on the left side of the stadium .,"The stadium is shaped like an egg, And the roof can be opened and closed freely ."
what is the name of this stadium,the stadium with a white awning is located on a square with parking lots with no cars .
the image shows the snow covered mountains of the,The snowberg is covered with snow and ice but some ridges are not covered by snow and ice .
the stadium is located in the center of the image .,this is a huge playground with basketball courts and tennis courts planned orderly inside .
a. the snow on the mountain is melting b. the snow on the mountain is melting,The snowberg is covered with glaciers and some horn peaks remain at the top of the snowberg .
a. a beach with a sand bar separating it from the mainland .,The beach with khaki sand and the color of the seawater is green .
Google Earth,the white waves swash against the wet sands .
a. a highway with a median and shoulder markings b. a highway with a median and shoulder markings c. a highway with a median and shoulder markings d. a highway with a median and shoulder markings,A bifurcated freeway goes through the forest with many dark green trees and some cars are driving on the freeway .
a. a road with a car on it b. a road with a car on it c. a road with a car on it,these three tennis courts are colored with green
a. a beach b. a beach with a wave c. a beach with a wave breaking on it,the vast sea is beating the sand .
a. the airport b. the runway c. the runway and the airport d. the runway and the airport and the runway,Three planes parked on the airport while some buildings and cars beside .
the island is located in the middle of the ocean .,The island with dense vegetation is surrounded by deep blue waters .
the image shows a mountain range with a river running through it .,it is green on the mountain while it is yellow at the bottom of the mountain .
the golf course .,"The golf course has some fairways, Barrier trees and sandpits and some barrier trees are on both sides of the fairways ."
a. the mountains are covered in snow.,The snowberg is partly covered with glaciers and the snowberg consist of lots of ridges and valleys .
a.,The dark green river with some tributaries goes through the farmland and some houses are next to the river .
a. the intersection of a road and a river or a river and a road. b. the intersection of a road and a river or a river and a road.,The cross-line overpass is over the road and some white buildings are next to the overpass .
a. a large house in the woods b. a large house in the woods,the house close to which is a swimming pool is surrounded by trees .
the dome of the cathedral,a dome building was built beside the road .
the airport is located in the middle of the image .,An airport with some staggered runways and buildings on the lawn and some buildings beside .
a. parking lot b. aerial view of a parking lot,The parking lot has lots of cars arranged neatly in lines and some trees are among cars .
a. a residential neighborhood b. a residential neighborhood,The medium residential area has some houses and trees on the grass and some roads go through the medium residential area .
marina,The harbor with lots of neatly docked boats is surrounded by some buildings and a parking lot .
the image shows a mountainous region with a few rivers .,roads and rivers can be seen in the valleys .
a. a stadium with a baseball field and a football field b. a baseball field and a football field c. a baseball field and a soccer field d. a baseball field and a soccer field,"an old football field, a baseball court and a parking lot form this rectangular area ."
a. suburban sprawl b. urban sprawl c. urban sprawl in the united states d. urban sprawl in the united kingdom,rows of tall trees were planted on both sides of the road .
the marina is located on the north shore of the bay .,The harbor has lots of neatly docked boats and some boats are in the open area on the shore .
the temple is surrounded by a moat and surrounded by a moat .,The palace with some palaces of different sizes is surrounded by a forest .
river,It is a river with some plants on one bank and roads on the other side .
a. a lake b. a river c. a river delta d. a river and a lake,The lake lies in a mountainous area and the water is green .
a. smoke coming out of a factory b. smoke coming out of a chimney c. smoke coming out of a chimney and a factory,There is a thermal power station and a house in the open space by the road .
the mountains are in the north and west .,part of the mountain is bare and snow capped while the other part is green and brown .
the building is on the left side of the image,A dense residential area has lots of houses next to each other while some roads go through the residential area .
what is the name of this island,The stratus clouds and cumulus clouds are located above the sea and the island covered by dense vegetation .
a. a large open pit b. a large open pit c. a large open pit,There was a little weed around the terraces .
a. the building is surrounded by other buildings b. the building is surrounded by a moat c. the building is surrounded by a moat and a wall d. the building is surrounded by a moat and a wall,in one of the blocks there is a church with a black and white roof .
beach,The beach with brown sand and the color of the seawater is green .
the track is made up of a series of long rectangles .,Some runways go through the open area .
a. a city,this area is the economic center of the city .
the bridge is a cantilever bridge that connects the city of,a long bridge was built over the river .
the image shows a small island with a few buildings on it .,a arc line of houses and a line of houses at the sea surround the blue swimming pool
marina,a large number of white ships were parked around the harbor .
the stadium is located in the center of the image.,This stadium has seats on two sides only .
the lake is located in the middle of a forest .,The lake lies in the dense forest and the water is deep green .
a. parking lot b. parking lot c. parking lot d. parking lot,the parking lot is full of cars .
a. a river flowing through a valley b. a river flowing through a valley,The blue river is between the mountainous area and some residential areas and an overpass is over the river .
a. a tree in a field b. a tree in a field,"The golf course has two fairways, A road and some barrier trees ."
a. a patchwork of fields,a lot of green farmland has been planted on the land .
a. a straight line b. a curved line c. a curved line that is not straight,a farmland in several rectangles is white and green .
a city with a river running through it .,The dark green river goes through the forest and a residential area is next to the river .
the building is surrounded by a large number of smaller buildings .,The palace has some dome palaces of different sizes .
the nuclear power plant .,There are about ten storage tanks here .
the airport is located in the city of,An airport with some staggered runways and open areas on the lawn and some buildings arranged neatly beside .
ship,The ship is docked at the dock and the water is deep blue .
the water reservoir is located in the middle of a forest .,there is a big trapezoidal pond of green water .
a. a neighborhood of houses b. a neighborhood of houses,The medium residential area has some houses of different sizes and wastelands .
a. boats docked at a marina b. boats docked at a marina,The harbor has some neatly docked boats and the color of the waters is dark green .
the building is in the center of the image .,the square with a circular pond and lawn is surrounded by some trees .
the image shows a landscape with a lot of terraces .,"Half of the terraces are full of crops, and the other half are empty ."
a. a highway with a lot of traffic on it. b. a highway with a lot of traffic on it.,The directional overpass is over the roads on the lawn .
a. satellite image of a train station b. satellite image of a train station,These railways are flanked by lots of buildings and some fields .
shipwreck,The two ships are in the deep blue water .
a. desert b. desert with some trees c. desert with some trees and some bushes d. desert with some trees and some bushes and some rocks,Some green chaparrals of different sizes grow in the desert .
the airport is located in the middle of the picture .,An airport with two parallel runways and an open area on the farmland .
stadium,"The stadium looks like a fan, With a blue roof on each side ."
the square is a square shaped square with a central square and two smaller squares on each side .,The palace has some palaces of different colors and a big square .
the coastline is marked by the dark line .,The beach with brown sand and the land next to the beach is covered with some plants .
a. desert b. desert with some trees c. desert with some trees and some rocks d. desert with some rocks and some trees,Some disconnected chaparrals of different sizes grow in the desert and the dry river channel beside .
a. a city b. a city in the city,A dense commercial area has lots of buildings arranged neatly .
the image shows a large lake surrounded by mountains .,The lake lies in a mountainous area and the water is deep green .
a. oil tanks b. oil tanks c. oil tanks,There are two identical storage tanks beside a white house .
a. a field of crops b. a field of crops,Four dark green circular farmlands are surrounded by some rectangular farmlands .
the airport is located in the middle of the desert .,An airport with grid-shaped runways in the vacant lot and some roads through the vacant lot .
a. green grass field b. green grass field with a road,This meadow has evenly distributed dense grasses and a road goes through the meadow .
a. a residential neighborhood b. a city street,A dense residential area has some trees and lots of houses next to each other while some roads go through the residential area .
Airport,many white planes were parked at the airport .
a. the road is curved and has a bridge over it. b. the road is straight and has a bridge over it. c. the road is curved and has a bridge over it. d. the road is straight and has a bridge over it.,A road go across another one diagonally .
river delta,the river flows through the wide land .
a. basketball court b. parking lot c. parking lot,small villas and a basketball court form this block .
a. aerial view of a highway with a bridge over it. b. aerial view of a highway with a bridge over it.,A straight freeway and some small roads go through the lawn and form an overpass on another road .
Lake Eyre is the world's second largest salt lake .,The lake lies in farmland and the water is green .
the image shows a large area of the island of,There is a straight path through this wetland .
a. the city is in the middle of the city .,several crosses divide the commercial into pieces
aerial view of the property,The mobile home park has some mobile homes and a parking lot .
the lake is located in the northwest corner of the island .,A big lake and two small lakes lie in the dense forest and the water is blue .
this is a view of a mobile home park .,The mobile home park has some mobile homes on the grass and two lakes are also in the mobile home park .
a. is a satellite image of a train station in a city .,rails in the rectangular area surrounded by buildings are into merging area .
This is a satellite image of a large industrial area .,near a residential area there is a factory with some small squares on its roof sandwiched between a railway and a road.
the stadium is located in the heart of the city,This stadium is surrounded by dense residential areas .
the golf course is located in the middle of the image .,"The golf course has some fairways, Roads, Barrier trees and sandpits ."
stadium of light,there is an advertising board above one side of the grandstand in the stadium surrounded by some buildings .
the mountains are covered in snow .,some of the mountains are covered with snow .
the station is located in the center of the image .,The railway station has lots of railways and some striped buildings and an overpass is over the railways .
parking lot,The parking lot has several parked cars but lots of parking spaces are still empty .
what is the name of the building in the center of the image?,two parallel streets form this block including a green football field  six tennis courts and different kinds of buildings
baseball field,Two adjacent baseball diamonds next to a parking lot and some buildings beside .
a. smoke rising from a factory,The cumulus clouds are located above the city .
a. a baseball field surrounded by houses b. a baseball field surrounded by trees,A baseball diamond surrounded by some trees and some houses beside .
the image shows a large open pit mine .,some trucks are on the bare land .
a. a train station b. a railway line c. a railway station,"The railway station has lots of railways, Some trains and buildings of different colors and the railway station are flanked by some clearings and residential areas ."
island,Some islands with dense vegetation are surrounded by light blue waters .
a. a large square plaza surrounded by buildings .,there are many trees and lawns around the square .
a. airport b. parking lot c. runway d. all of the above,Three planes parked on the airport and a white buildings in front of planes .
a. a road crossing a farm field .,Some green rectangular farmlands of different sizes are arranged in neat rows and some houses are surrounded by these farmlands .
a. the intersection of 2nd and 3rd streets b. the intersection of 3rd and 4th streets c. the intersection of 3rd and 4th streets d. the intersection of 4th and 5th streets,An intersection with sparse traffic located in a commercial area .
a. a group of trees b. a group of bushes c. a group of shrubs,Some chaparrals of different kinds and sizes grow in the desert .
a. a large intersection with a roundabout in the middle of it. b. a large intersection with a roundabout in the middle of it.,The roundabout is an overpass in the commercial area and some cars are driving on the roundabout .
the track is located in the south of the city .,The railway station has lots of railways and a white building and lots of other buildings are next to the railway station .
glacier,The snowberg is partly covered with glaciers and a U-shaped valley is in the snowberg .
a. aerial view of a freeway with a lot of traffic on it .,A straight freeway goes through the block and some cars are driving on the freeway .
neighborhood,A dense residential area has lots of trees and houses of the same style .
the image shows a large circular mound surrounded by a low-lying forest .,This meadow has dense grasses and some trees .
a. it is a view of a building with a large roof .,A commercial area with a U-shaped building is surrounded by some roads and the lawn is behind the building .
a. it is a roundabout with a circular shape and no traffic lights. b. it is a roundabout with a circular shape and with traffic lights. c. it is a roundabout with a circular shape and no traffic lights. d. it is a roundabout with a circular shape and with traffic lights.,The roundabout connects four roads and some trees are in the middle of the roundabout .
beach,The beach with khaki sand and the color of the seawater is green .
a. the building is shaped like a letter v b. the building is shaped like a triangle,on either side of the square is a row of houses with grey roofs .
the stadium is in the centre of the image,The stadium has a blue roof on two sides .
a. parking lot b. parking lot c. parking lot d. parking lot,four lines of automobiles and a white truck are parked on the parking lot beside lawns .
a. basketball court b. parking lot c. intersection d. street,A basketball court next to the lawn and some cars beside .
the image shows a mountain range .,The folded mountain consists of a number of ridges and valleys .
the city of london,a row of trees were planted in the school .
the bridge is a cantilever bridge that spans the strait between the mainland and the island .,A bridge is built on a dark green river and the river has a channel bar .
the park is a large public park located in the center of the city .,the park looking like a window is combined by one piece of square land and a piece of a a semicircle land
the lake is surrounded by a forest and has a small island in the middle .,there are many tall trees around the lake .
the beach and the ocean meet .,many people are playing on the beach .
a. desert b. desert with a few trees c. desert with a few trees and a few buildings d. desert with a few trees and a few buildings,A path leads to this house with black roof .
aerial view of the cathedral,two parallel roads divide these buildings into three blocks in the middle of which there is a church with cross shaped roof .
a. a highway with a bridge over it b. a highway with a bridge over it,An overpass go across the roads diagonally .
stadium of light,This stadium has a red podium on one side .
a. snow covered mountain range b. a glacier,The snowberg is partly covered with snow and ice and a knife-edge ridge remains at the top of the snowberg .
the bridge is a cantilever bridge that spans the river between the two islands .,"A bridge built on a dark green river and some buildings on one side of the river, And some green plants on the other side of the river ."
this is a picture of a green space with trees and grass .,This meadow has sparse grasses and some trees .
a. a circular field with a circular center pivot irrigation system .,Two green circular farmlands are on the ground and some chaparrals beside .
a. it is a highway interchange with a large number of lanes and a large number of cars on it. b. it is a highway interchange with a large number of lanes and a large number of cars on it.,two railways pass through a ring shaped viaduct .
the mountains are made up of granite .,The folded mountain consists of some ridges and valleys and parts of the mountain are covered with dense vegetation .
a. a large lake surrounded by desert b. a large lake surrounded by desert c. a large lake surrounded by desert and a city,The lake with curved shores lies in a wasteland and the water is deep green .
a. a group of houses in a suburban area b. a group of houses in a suburban area c. a group of houses in a suburban area,A dense residential area with lots of houses of the same style is surrounded by some roads .
a. satellite image of a coal mine .,"There are seven thermal power stations here, two of which are thinner and taller than others ."
a. a field of crops b. a field of crops with a small amount of water in it,Several rectangular farmlands are arranged in neat rows .
figure 1.10 a satellite image of a city,The ground track field is surrounded by lots of buildings arranged neatly .
a. desert b. desert with mountains c. desert with mountains and hills,The folded mountain has a continuous series of rugged mountains and its rocks are red and brown .
a. the road is too wide for the vehicles to pass safely.,A straight freeway goes through the lawn and some cars are driving on the freeway .
a. aerial view of a city b. aerial view of a city,There are some buildings with grey roofs .
glacier,The snowberg is covered with snow and ice .
a. a roundabout with a single lane in each direction b. a roundabout with multiple lanes in each direction,The roundabout connects four roads and a lawn is in the middle of the roundabout .
a. the mountains are covered in snow. b. the mountains are covered in trees. c. the mountains are covered in water. d. the mountains are covered in grass.,The snowberg is partly covered with snow and ice and partly covered with vegetation .
the temple of the morning calm,The dark gray palace has some palaces of different sizes and lots of trees .
a. a bridge over a river b. a bridge over a river,A bridge built on a dark green river and the vacant lot on both sides of the river .
the river delta,The deep blue river with a channel bar goes through the wasteland .
a. a large intersection with many roads intersecting at it .,there is a spindle shaped viaduct with many cars .
the building is located in the city of hong kong .,A commercial area with lots of high-rise buildings of different shapes is next to the waters .
a. the same area as the previous image but zoomed in to show the road network .,Several rectangular farmlands of different colors are arranged in neat rows and some roads go through the farmlands .
a. a group of houses b. a group of houses in a row c. a group of houses in a row,A baseball diamond next to some badminton courts and the residential area beside .
a. airplane b. airport c. airport terminal d. airport terminal and airplane,A plane with the red mark parked next to a twisted boarding bridge of the striped terminal .
a. a rocky shoreline b. a rocky shoreline with a small cove c. a rocky shoreline with a small cove,The type of beach is rocky coast and some buildings on the beach .
a. a baseball field b. a parking lot c. a street,A baseball diamond and a parking lot beside and the residential area beside .
a. a large rectangular pond surrounded by farmland and a road .,rows of trees were planted around the lake .
the lake is located in the north of the city of,The mountain has a rugged surface and its rocks are black and brown .
the golf course is on the left side of the image .,"The golf course has some fairways, Barrier trees and sandpits and some houses are also in the golf course ."
a. the beach is receding from the shoreline b. the beach is eroding into the water c. the beach is eroding into the water,The beach with khaki sand and some small dirt slopes on the beach .
a. bridge over a highway b. bridge over a highway,The cross-line overpass is over the roads on the lawn .
the river is in the middle of the image .,a curving river and road encircle the farmland which is light green with some trees .
terraced vineyards in the region of the Douro valley .,There are several white houses on the terraces .
the airport is located in the city of,Some planes parked in three lines on the airport .
a. the train station,huge white station platform are over the spindle shaped rails .
hotel,two swimming pools are surrounded by a ring of houses with vivid roofs next to a road at the sea .
a large industrial area with several large buildings and a few cars and trucks .,"The railway station has lots of railways, Some trains and a striped building and some other buildings are next to the railway station ."
a. blue roofs b. blue roofs c. blue roofs d. blue roofs,The industrial area has some blue workshops of different sizes and green areas .
the image shows a small village surrounded by farmland .,There is a winding path between the terraces .
a. a group of houses b. a group of houses,A dense residential area with lots of houses arranged neatly is surrounded by some trees .
a. desert b. desert with some vegetation c. desert with some vegetation and some sand dunes d. desert with some vegetation and some sand dunes e. desert with some vegetation and some sand dunes f. desert with some vegetation and some sand dunes g. desert with some vegetation and some sand dunes h. desert with some vegetation and some sand dunes i. desert with some vegetation and some sand dunes j. desert with some vegetation and some sand dunes k. desert with some vegetation and some sand dunes l. desert with some vegetation and some sand dunes m. desert with some vegetation and some sand dunes n. desert with some vegetation and some sand dunes o. desert with some vegetation and some sand dunes p. desert with some vegetation and some sand dunes q. desert with some vegetation and some sand dunes r. desert with some vegetation and some sand dunes s. desert with some vegetation and some sand dunes t. desert with some vegetation and some sand dunes u. desert with some vegetation and some sand dunes v. desert with some vegetation and some sand dunes w. desert with some vegetation and some sand dunes x. desert with some vegetation and some sand dunes y. desert with some vegetation and some sand dunes z. desert with some vegetation and some sand dunes aa. desert with some vegetation,"The desert has yellow sand, Some fixed dunes and small hills ."
clouds,The cumulus clouds are located above the green farmland .
a. a neighborhood of houses b. a neighborhood of houses,A dense residential area has lots of trees and houses of the same style while some roads go through the residential area .
a. the runway b. the taxiway c. the taxiway d. the taxiway,The runway is next to a parking lot and the designation marking is 32 .
grass,a tract of dense bushes cover the area .
Figure 1.1,The railway station with lots of railways is surrounded by lots of other buildings and some trains are on the railways .
the airport is located in the middle of the image .,An airport with some staggered runways and buildings in the vacant lot .
railway line,These railways have a grove of trees on one side of the railways .
a. desert b. desert with some clouds c. desert with some clouds and some mountains d. desert with some mountains and some clouds,The desert has deep yellow sand and many white small hills .
a. a street with a few cars parked on it .,An intersection with sparse traffic is between some buildings and a parking lot .
the image shows a large area of farmland .,the land is a vast green field .
aerial view of the prison,The gray palace with some palaces of different sizes is between a lawn and a forest .
the airport is located in a densely populated area .,The runway is surrounded by lots of other buildings .
the beach and the ocean,the shining sea rush to sand leaving spray around a rock on the coast.
a. a river and a city b. a river and a city c. a river and a city d. a river and a city,The dark green river with some tributaries goes through the residential area and two overpasses are over the river .
a. a beach with a sand dune and a sea wall .,The beach with brown sand and some small dirt slopes on the beach .
a. a harbor with a lot of boats in it b. a harbor with a lot of boats in it,many ships were parked at the harbour .
a. three planes b. three planes c. three planes on a runway,Three planes parked in different directions on the open area with some marks .
a. a highway with a median and shoulder .,A straight freeway goes through the lawn with some trees and on one side are two white houses .
the circles are the same size .,Several khaki circular farmlands are on the wasteland .
a satellite image of a lake surrounded by land .,There are small creeks in the middle of this wetland .
the building is a large building with a green roof .,The green palace has a courtyard and a grove of trees .
aerial view of a house,A path leads to these two houses which are surrounded by lawn .
this is a view of a house from above,there is a house near a square coconut grove on the lawn with coconut trees scattered around.
the golf course is located along a river .,"The golf course has a lake, Some putting greens, Fairways, Roads, Barrier trees and three sandpits and a river goes through the golf course ."
